"Comp","In","Type","Date","Round","Match","Score","Tries","Points","Adv","Time","Adv"
"S12","NZL",NA,"Fri, 22 Feb 2002","1","Hurricanes v Blues","7-60","1:8","0-5","Wellington",NA,"13+"
"S12","NZL",NA,"Sat, 24 May 2003","Final","Blues v Crusaders","21-17","2:3","4-1","Auckland","","-12"
"S12","NZL",NA,"Sat, 17 May 2003","Semi","Blues v Brumbies","42-21","6:3","5-0","Auckland","","13+"
"S12","NZL",NA,"Fri, 16 May 2003","Semi","Crusaders v Hurricanes","39-16","3:1","4-0","Christchurch","","13+"
"S12","AUS",NA,"Fri, 09 May 2003","12","Brumbies v Crusaders","21-28","3:3","1-4","Canberra","19:40","-12"
"S12","NZL",NA,"Fri, 09 May 2003","12","Blues v Hurricanes","29-17","4:2","5-0","Auckland","19:35","-12"
"S12","SAF",NA,"Sat, 10 May 2003","12","Stormers v Lions","27-21","4:3","5-1","Cape Town","17:05","-12"
"S12","SAF",NA,"Sat, 10 May 2003","12","Sharks v Bulls","16-24","1:2","0-4","Durban","15:00","-12"
"S12","AUS",NA,"Sat, 10 May 2003","12","Waratahs v Chiefs","25-14","3:2","4-0","Sydney","19:40","-12"
"S12","AUS",NA,"Sat, 10 May 2003","12","Reds v Highlanders","28-23","4:2","5-1","Brisbane","17:35","-12"
"S12","SAF",NA,"Sat, 03 May 2003","11","Bulls v Chiefs","29-26","4:4","5-2","Pretoria","15:00","-12"
"S12","AUS",NA,"Sat, 03 May 2003","11","Reds v Sharks","22-13","1:1","4-0","Brisbane","19:40","-12"
"S12","NZL",NA,"Sat, 03 May 2003","11","Highlanders v Waratahs","23-27","1:4","1-5","Dunedin","17:30","-12"
"S12","NZL",NA,"Sat, 03 May 2003","11","Hurricanes v Brumbies","27-35","4:5","1-5","Wellington","19:35","-12"
"S12","SAF",NA,"Fri, 02 May 2003","11","Stormers v Crusaders","13-51","1:6","0-5","Cape Town","15:00","13+"
"S12","NZL",NA,"Fri, 02 May 2003","11","Blues v Lions","33-9","5:0","5-0","Auckland","19:35","13+"
"S12","SAF",NA,"Sat, 26 Apr 2003","10","Stormers v Chiefs","24-23","2:3","4-1","Cape Town","19:05","-12"
"S12","SAF",NA,"Sat, 26 Apr 2003","10","Bulls v Crusaders","32-31","2:3","4-1","Pretoria","15:00","-12"
"S12","AUS",NA,"Sat, 26 Apr 2003","10","Reds v Lions","41-13","4:1","5-0","Brisbane","19:40","13+"
"S12","NZL",NA,"Sat, 26 Apr 2003","10","Blues v Sharks","25-16","3:1","4-0","Auckland","19:35","-12"
"S12","NZL",NA,"Fri, 25 Apr 2003","10","Highlanders v Brumbies","45-19","7:3","5-0","Dunedin","19:35","13+"
"S12","SAF",NA,"Sat, 19 Apr 2003","9","Stormers v Blues","8-36","1:4","0-5","Cape Town","15:00","13+"
"S12","SAF",NA,"Sat, 19 Apr 2003","9","Bulls v Reds","39-19","5:3","5-0","Pretoria","17:05","13+"
"S12","NZL",NA,"Sat, 19 Apr 2003","9","Hurricanes v Highlanders","37-15","4:2","5-0","New Plymouth","19:35","13+"
"S12","NZL",NA,"Sat, 19 Apr 2003","9","Chiefs v Lions","40-9","5:0","5-0","Rotorua","17:30","13+"
"S12","AUS",NA,"Fri, 18 Apr 2003","9","Brumbies v Waratahs","41-15","5:2","5-0","Canberra","19:40","13+"
"S12","NZL",NA,"Fri, 18 Apr 2003","9","Crusaders v Sharks","23-18","3:2","4-1","Christchurch","19:35","-12"
"S12","SAF",NA,"Sat, 12 Apr 2003","8","Stormers v Reds","20-41","3:4","0-5","Cape Town","17:05","13+"
"S12","SAF",NA,"Sat, 12 Apr 2003","8","Bulls v Blues","28-56","3:9","0-5","Pretoria","15:00","13+"
"S12","NZL",NA,"Sat, 12 Apr 2003","8","Crusaders v Lions","65-34","10:4","5-1","Christchurch","19:35","13+"
"S12","NZL",NA,"Sat, 12 Apr 2003","8","Chiefs v Sharks","25-31","4:4","2-5","Hamilton","17:30","-12"
"S12","NZL",NA,"Fri, 11 Apr 2003","8","Hurricanes v Waratahs","42-26","6:4","5-1","Wellington","19:35","13+"
"S12","AUS",NA,"Sun, 06 Apr 2003","7","Brumbies v Chiefs","55-31","7:4","5-1","Canberra","16:30","13+"
"S12","SAF",NA,"Sat, 05 Apr 2003","7","Bulls v Stormers","24-27","2:2","1-4","Pretoria","15:00","-12"
"S12","AUS",NA,"Sat, 05 Apr 2003","7","Waratahs v Crusaders","34-31","4:4","5-2","Sydney","19:40","-12"
"S12","AUS",NA,"Fri, 04 Apr 2003","7","Reds v Hurricanes","23-26","3:2","1-4","Brisbane","20:00","-12"
"S12","NZL",NA,"Fri, 04 Apr 2003","7","Highlanders v Blues","22-11","1:1","4-0","Dunedin","19:35","-12"
"S12","SAF",NA,"Sat, 29 Mar 2003","6","Lions v Sharks","23-29","2:4","1-5","Johannesburg","17:05","-12"
"S12","AUS",NA,"Sat, 29 Mar 2003","6","Waratahs v Reds","23-35","3:4","0-5","Sydney","20:10","-12"
"S12","NZL",NA,"Sat, 29 Mar 2003","6","Highlanders v Crusaders","16-17","1:2","1-4","Dunedin","17:00","-12"
"S12","NZL",NA,"Sat, 29 Mar 2003","6","Hurricanes v Chiefs","24-14","3:2","4-0","Wellington","19:05","-12"
"S12","NZL",NA,"Fri, 28 Mar 2003","6","Blues v Brumbies","41-15","5:2","5-0","Auckland","19:35","13+"
"S12","SAF",NA,"Sat, 22 Mar 2003","5","Lions v Hurricanes","21-28","2:4","1-5","Bloemfontein","17:05","-12"
"S12","AUS",NA,"Sat, 22 Mar 2003","5","Brumbies v Bulls","64-26","9:4","5-1","Canberra","19:40","13+"
"S12","SAF",NA,"Fri, 21 Mar 2003","5","Sharks v Highlanders","19-23","2:2","1-4","Durban","19:10","-12"
"S12","AUS",NA,"Fri, 21 Mar 2003","5","Waratahs v Stormers","29-39","4:5","1-5","Sydney","20:00","-12"
"S12","NZL",NA,"Fri, 21 Mar 2003","5","Blues v Reds","62-20","9:3","5-0","Whangarei","19:00","13+"
"S12","SAF",NA,"Sat, 15 Mar 2003","4","Lions v Highlanders","33-21","4:2","5-0","Johannesburg","17:05","-12"
"S12","AUS",NA,"Sat, 15 Mar 2003","4","Waratahs v Bulls","26-16","4:1","5-0","Sydney","19:40","-12"
"S12","SAF",NA,"Fri, 14 Mar 2003","4","Sharks v Hurricanes","20-35","2:5","0-5","Durban","19:10","13+"
"S12","AUS",NA,"Fri, 14 Mar 2003","4","Brumbies v Stormers","37-22","5:3","5-0","Canberra","19:40","13+"
"S12","NZL",NA,"Fri, 14 Mar 2003","4","Crusaders v Chiefs","36-29","4:2","5-1","Christchurch","19:35","-12"
"S12","SAF",NA,"Sat, 08 Mar 2003","3","Sharks v Waratahs","36-49","5:6","1-5","Durban","17:05","13+"
"S12","NZL",NA,"Sat, 08 Mar 2003","3","Chiefs v Reds","43-27","5:3","5-0","Hamilton","17:35","13+"
"S12","NZL",NA,"Sat, 08 Mar 2003","3","Blues v Crusaders","39-5","5:1","5-0","Albany","19:35","13+"
"S12","SAF",NA,"Fri, 07 Mar 2003","3","Lions v Brumbies","34-32","3:2","4-1","Johannesburg","19:10","-12"
"S12","NZL",NA,"Fri, 07 Mar 2003","3","Highlanders v Bulls","29-22","2:3","4-1","Invercargill","18:00","-12"
"S12","NZL",NA,"Fri, 07 Mar 2003","3","Hurricanes v Stormers","33-18","5:2","5-0","Wellington","20:00","13+"
"S12","NZL",NA,"Fri, 28 Feb 2003","2","Chiefs v Blues","27-30","3:4","1-5","Hamilton","19:35","-12"
"S12","SAF",NA,"Sat, 01 Mar 2003","2","Lions v Waratahs","36-48","3:6","0-5","Bloemfontein","19:10","-12"
"S12","SAF",NA,"Sat, 01 Mar 2003","2","Sharks v Brumbies","25-17","1:3","4-0","Durban","17:05","-12"
"S12","NZL",NA,"Sat, 01 Mar 2003","2","Highlanders v Stormers","41-17","6:3","5-0","Dunedin","14:35","13+"
"S12","NZL",NA,"Sat, 01 Mar 2003","2","Crusaders v Reds","34-6","4:0","5-0","Christchurch","19:35","13+"
"S12","NZL",NA,"Sat, 01 Mar 2003","2","Hurricanes v Bulls","34-46","4:4","1-5","Wellington","17:35","-12"
"S12","AUS",NA,"Sat, 22 Feb 2003","1","Reds v Brumbies","19-22","1:1","1-4","Brisbane","18:40","-12"
"S12","NZL",NA,"Sat, 22 Feb 2003","1","Crusaders v Hurricanes","37-21","5:2","5-0","Christchurch","19:35","13+"
"S12","SAF",NA,"Fri, 21 Feb 2003","1","Lions v Bulls","26-34","2:1","0-4","Bloemfontein","17:05","-12"
"S12","SAF",NA,"Fri, 21 Feb 2003","1","Stormers v Sharks","40-18","5:3","5-0","Cape Town","19:10","13+"
"S12","AUS",NA,"Fri, 21 Feb 2003","1","Waratahs v Blues","18-31","2:4","0-5","Sydney","19:40","13+"
"S12","NZL",NA,"Fri, 21 Feb 2003","1","Chiefs v Highlanders","16-29","1:1","0-4","Hamilton","19:35","13+"
"S12","AUS",NA,"Sat, 22 May 2004","Final","Brumbies v Crusaders","47-38","7:6","5-1","Canberra","19:30","-12"
"S12","AUS",NA,"Sat, 15 May 2004","Semi","Brumbies v Chiefs","32-17","5:2","5-0","Canberra","19:30","13+"
"S12","NZL",NA,"Sat, 15 May 2004","Semi","Crusaders v Stormers","27-16","2:1","4-0","Christchurch","19:30","-12"
"S12","SAF",NA,"Sat, 08 May 2004","12","Sharks v Stormers","24-31","4:5","2-5","Durban","17:05","-12"
"S12","SAF",NA,"Sat, 08 May 2004","12","Bulls v Lions","62-52","9:7","5-1","Pretoria","15:00","-12"
"S12","AUS",NA,"Sat, 08 May 2004","12","Reds v Waratahs","23-7","2:1","4-0","Brisbane","19:40","13+"
"S12","NZL",NA,"Sat, 08 May 2004","12","Chiefs v Brumbies","12-15","0:2","1-4","Hamilton","17:30","-12"
"S12","NZL",NA,"Sat, 08 May 2004","12","Blues v Highlanders","50-22","7:3","5-0","Auckland","19:35","13+"
"S12","NZL",NA,"Fri, 07 May 2004","12","Hurricanes v Crusaders","37-20","5:3","5-0","Wellington","19:35","13+"
"S12","SAF",NA,"Fri, 30 Apr 2004","11","Sharks v Blues","26-37","2:4","0-5","Durban","19:10","-12"
"S12","NZL",NA,"Fri, 30 Apr 2004","11","Chiefs v Bulls","24-22","2:3","4-1","Hamilton","19:35","-12"
"S12","SAF",NA,"Sat, 01 May 2004","11","Lions v Reds","23-47","2:6","0-5","Bloemfontein","15:00","13+"
"S12","AUS",NA,"Sat, 01 May 2004","11","Waratahs v Highlanders","28-29","3:4","1-5","Sydney","15:00","-12"
"S12","AUS",NA,"Sat, 01 May 2004","11","Brumbies v Hurricanes","46-25","7:3","5-0","Canberra","19:40","13+"
"S12","NZL",NA,"Sat, 01 May 2004","11","Crusaders v Stormers","24-9","2:0","4-0","Christchurch","19:35","13+"
"S12","SAF",NA,"Sat, 24 Apr 2004","10","Lions v Blues","28-35","3:4","1-5","Johannesburg","17:05","-12"
"S12","SAF",NA,"Sat, 24 Apr 2004","10","Sharks v Reds","5-6","1:0","1-4","Durban","15:00","-12"
"S12","AUS",NA,"Sat, 24 Apr 2004","10","Waratahs v Brumbies","37-29","3:4","4-1","Sydney","19:40","-12"
"S12","NZL",NA,"Sat, 24 Apr 2004","10","Highlanders v Hurricanes","26-14","2:1","4-0","Dunedin","19:35","-12"
"S12","NZL",NA,"Sat, 24 Apr 2004","10","Crusaders v Bulls","40-21","4:3","5-0","Christchurch","17:30","13+"
"S12","NZL",NA,"Fri, 23 Apr 2004","10","Chiefs v Stormers","29-14","4:2","5-0","Hamilton","19:35","13+"
"S12","SAF",NA,"Sat, 17 Apr 2004","9","Lions v Crusaders","37-39","5:5","2-5","Johannesburg","15:00","-12"
"S12","AUS",NA,"Sat, 17 Apr 2004","9","Waratahs v Hurricanes","49-31","7:4","5-1","Sydney","19:40","13+"
"S12","SAF",NA,"Fri, 16 Apr 2004","9","Sharks v Chiefs","27-34","3:4","1-5","Durban","19:10","-12"
"S12","AUS",NA,"Fri, 16 Apr 2004","9","Reds v Bulls","17-23","3:2","1-4","Brisbane","19:40","-12"
"S12","NZL",NA,"Fri, 16 Apr 2004","9","Blues v Stormers","23-51","3:8","0-5","Auckland","19:35","13+"
"S12","AUS",NA,"Fri, 09 Apr 2004","8","Brumbies v Highlanders","50-18","7:2","5-0","Canberra","17:40","13+"
"S12","NZL",NA,"Fri, 09 Apr 2004","8","Blues v Bulls","56-19","9:3","5-0","Albany","19:35","13+"
"S12","SAF",NA,"Sat, 10 Apr 2004","8","Lions v Chiefs","23-21","2:2","4-1","Johannesburg","15:05","-12"
"S12","SAF",NA,"Sat, 10 Apr 2004","8","Sharks v Crusaders","29-25","4:3","5-1","Durban","15:00","-12"
"S12","AUS",NA,"Sat, 10 Apr 2004","8","Reds v Stormers","20-21","3:2","1-4","Brisbane","19:40","-12"
"S12","NZL",NA,"Sun, 04 Apr 2004","7","Blues v Waratahs","22-17","3:2","4-1","Auckland","14:35","-12"
"S12","SAF",NA,"Sat, 03 Apr 2004","7","Sharks v Lions","42-28","5:4","5-1","Durban","17:05","13+"
"S12","NZL",NA,"Sat, 03 Apr 2004","7","Crusaders v Brumbies","47-28","5:4","5-1","Christchurch","17:30","13+"
"S12","NZL",NA,"Sat, 03 Apr 2004","7","Hurricanes v Reds","29-12","4:2","5-0","Wellington","19:35","13+"
"S12","NZL",NA,"Fri, 02 Apr 2004","7","Highlanders v Chiefs","31-36","4:5","2-5","Dunedin","19:35","-12"
"S12","AUS",NA,"Sun, 28 Mar 2004","6","Brumbies v Reds","51-8","7:1","5-0","Canberra","16:30","13+"
"S12","SAF",NA,"Sat, 27 Mar 2004","6","Stormers v Bulls","25-11","3:1","4-0","Cape Town","15:00","13+"
"S12","NZL",NA,"Sat, 27 Mar 2004","6","Crusaders v Highlanders","46-29","6:4","5-1","Christchurch","19:35","13+"
"S12","NZL",NA,"Sat, 27 Mar 2004","6","Chiefs v Waratahs","32-17","3:2","4-0","Hamilton","17:30","13+"
"S12","NZL",NA,"Fri, 26 Mar 2004","6","Hurricanes v Blues","26-26","2:3","2-2","Wellington","19:35","0"
"S12","SAF",NA,"Sat, 20 Mar 2004","5","Stormers v Brumbies","15-33","3:4","0-5","Cape Town","17:05","13+"
"S12","NZL",NA,"Sat, 20 Mar 2004","5","Highlanders v Lions","29-17","4:3","5-0","Dunedin","19:00","-12"
"S12","NZL",NA,"Sat, 20 Mar 2004","5","Chiefs v Crusaders","15-36","2:4","0-5","Hamilton","19:35","13+"
"S12","SAF",NA,"Fri, 19 Mar 2004","5","Bulls v Waratahs","38-27","4:3","5-0","Pretoria","19:10","-12"
"S12","NZL",NA,"Fri, 19 Mar 2004","5","Hurricanes v Sharks","20-21","2:2","1-4","New Plymouth","19:35","-12"
"S12","SAF",NA,"Sat, 13 Mar 2004","4","Stormers v Waratahs","27-23","4:3","5-1","Cape Town","19:10","-12"
"S12","SAF",NA,"Sat, 13 Mar 2004","4","Bulls v Brumbies","32-21","4:3","5-0","Pretoria","17:05","-12"
"S12","AUS",NA,"Sat, 13 Mar 2004","4","Reds v Blues","20-3","3:0","4-0","Brisbane","19:00","13+"
"S12","NZL",NA,"Sat, 13 Mar 2004","4","Hurricanes v Lions","42-25","5:3","5-0","Wellington","19:35","13+"
"S12","NZL",NA,"Fri, 12 Mar 2004","4","Highlanders v Sharks","35-36","4:5","2-5","Dunedin","19:35","-12"
"S12","SAF",NA,"Sat, 06 Mar 2004","3","Stormers v Hurricanes","19-25","1:3","1-4","Cape Town","17:05","-12"
"S12","AUS",NA,"Sat, 06 Mar 2004","3","Reds v Crusaders","17-20","2:1","1-4","Brisbane","20:05","-12"
"S12","AUS",NA,"Sat, 06 Mar 2004","3","Brumbies v Sharks","23-20","2:1","4-1","Canberra","19:00","-12"
"S12","SAF",NA,"Fri, 05 Mar 2004","3","Bulls v Highlanders","16-16","1:1","2-2","Pretoria","19:10","0"
"S12","AUS",NA,"Fri, 05 Mar 2004","3","Waratahs v Lions","46-10","6:1","5-0","Sydney","19:40","13+"
"S12","NZL",NA,"Fri, 05 Mar 2004","3","Blues v Chiefs","20-27","2:3","1-4","Auckland","19:35","-12"
"S12","SAF",NA,"Sat, 28 Feb 2004","2","Stormers v Highlanders","46-25","6:3","5-0","Cape Town","20:05","13+"
"S12","SAF",NA,"Sat, 28 Feb 2004","2","Bulls v Hurricanes","40-19","4:3","5-0","Pretoria","19:10","13+"
"S12","AUS",NA,"Sat, 28 Feb 2004","2","Waratahs v Sharks","48-14","6:2","5-0","Sydney","19:00","13+"
"S12","AUS",NA,"Sat, 28 Feb 2004","2","Reds v Chiefs","39-25","5:3","5-0","Brisbane","20:05","13+"
"S12","AUS",NA,"Fri, 27 Feb 2004","2","Brumbies v Lions","68-28","10:4","5-1","Canberra","17:40","13+"
"S12","NZL",NA,"Fri, 27 Feb 2004","2","Crusaders v Blues","29-38","3:6","0-5","Christchurch","19:35","-12"
"S12","SAF",NA,"Sat, 21 Feb 2004","1","Bulls v Sharks","18-23","2:2","1-4","Pretoria","17:05","-12"
"S12","AUS",NA,"Sat, 21 Feb 2004","1","Brumbies v Blues","44-27","5:3","5-0","Canberra","19:40","13+"
"S12","NZL",NA,"Sat, 21 Feb 2004","1","Crusaders v Waratahs","19-43","1:4","0-5","Christchurch","17:35","13+"
"S12","NZL",NA,"Sat, 21 Feb 2004","1","Chiefs v Hurricanes","19-7","1:1","4-0","Hamilton","19:35","-12"
"S12","SAF",NA,"Fri, 20 Feb 2004","1","Lions v Stormers","23-28","2:3","1-4","Johannesburg","19:10","-12"
"S12","NZL",NA,"Fri, 20 Feb 2004","1","Highlanders v Reds","39-8","5:2","5-0","Invercargill","19:35","13+"
"S12","NZL",NA,"Sat, 28 May 2005","Final","Crusaders v Waratahs","35-25","4:3","5-0","Christchurch","19:35","-12"
"S12","AUS",NA,"Sat, 21 May 2005","Semi","Waratahs v Bulls","23-13","2:1","4-0","Sydney","19:40","-12"
"S12","NZL",NA,"Fri, 20 May 2005","Semi","Crusaders v Hurricanes","47-7","6:1","5-0","Christchurch","19:35","13+"
"S12","SAF",NA,"Sat, 14 May 2005","12","Lions v Sharks","20-20","3:3","2-2","Bloemfontein","17:00","0"
"S12","SAF",NA,"Sat, 14 May 2005","12","Bulls v Stormers","75-14","9:2","5-0","Pretoria","15:00","13+"
"S12","AUS",NA,"Sat, 14 May 2005","12","Reds v Brumbies","21-38","3:6","0-5","Brisbane","19:40","13+"
"S12","NZL",NA,"Sat, 14 May 2005","12","Chiefs v Highlanders","31-8","5:1","5-0","Hamilton","19:35","13+"
"S12","AUS",NA,"Fri, 13 May 2005","12","Waratahs v Blues","25-20","3:2","4-1","Sydney","19:40","-12"
"S12","NZL",NA,"Fri, 13 May 2005","12","Crusaders v Hurricanes","40-20","6:2","5-0","Christchurch","19:35","13+"
"S12","SAF",NA,"Sat, 07 May 2005","11","Stormers v Lions","25-20","3:2","4-1","Cape Town","17:00","-12"
"S12","SAF",NA,"Sat, 07 May 2005","11","Sharks v Bulls","17-23","2:3","1-4","Durban","15:00","-12"
"S12","AUS",NA,"Sat, 07 May 2005","11","Brumbies v Chiefs","28-28","4:4","3-3","Canberra","19:40","0"
"S12","NZL",NA,"Sat, 07 May 2005","11","Highlanders v Crusaders","13-27","1:3","0-4","Dunedin","19:35","13+"
"S12","AUS",NA,"Fri, 06 May 2005","11","Waratahs v Reds","27-8","2:1","4-0","Sydney","19:40","13+"
"S12","NZL",NA,"Fri, 06 May 2005","11","Blues v Hurricanes","10-22","1:3","0-4","Auckland","19:35","-12"
"S12","SAF",NA,"Sat, 30 Apr 2005","10","Stormers v Chiefs","34-37","4:4","2-5","Cape Town","17:00","-12"
"S12","NZL",NA,"Sat, 30 Apr 2005","10","Highlanders v Waratahs","20-41","2:5","0-5","Dunedin","17:30","13+"
"S12","NZL",NA,"Sat, 30 Apr 2005","10","Hurricanes v Brumbies","49-37","7:4","5-1","Wellington","19:35","-12"
"S12","SAF",NA,"Fri, 29 Apr 2005","10","Bulls v Blues","38-24","5:3","5-0","Pretoria","19:10","13+"
"S12","AUS",NA,"Fri, 29 Apr 2005","10","Reds v Lions","21-15","2:2","4-1","Brisbane","19:40","-12"
"S12","NZL",NA,"Fri, 29 Apr 2005","10","Crusaders v Sharks","77-34","11:5","5-1","Christchurch","19:35","13+"
"S12","SAF",NA,"Sat, 23 Apr 2005","9","Stormers v Blues","24-37","3:6","0-5","Cape Town","17:00","13+"
"S12","SAF",NA,"Sat, 23 Apr 2005","9","Bulls v Chiefs","29-26","2:2","4-1","Pretoria","15:00","-12"
"S12","AUS",NA,"Sat, 23 Apr 2005","9","Reds v Sharks","30-25","4:3","5-1","Brisbane","19:40","-12"
"S12","NZL",NA,"Sat, 23 Apr 2005","9","Crusaders v Lions","40-36","5:4","5-2","Christchurch","19:35","-12"
"S12","NZL",NA,"Fri, 22 Apr 2005","9","Hurricanes v Highlanders","16-26","1:2","0-4","Wellington","19:35","-12"
"S12","SAF",NA,"Sat, 16 Apr 2005","8","Stormers v Crusaders","23-51","2:7","0-5","Cape Town","17:00","13+"
"S12","AUS",NA,"Sat, 16 Apr 2005","8","Brumbies v Waratahs","6-10","0:1","1-4","Canberra","19:40","-12"
"S12","NZL",NA,"Sat, 16 Apr 2005","8","Blues v Sharks","36-13","5:1","5-0","Auckland","19:35","13+"
"S12","SAF",NA,"Fri, 15 Apr 2005","8","Bulls v Reds","32-7","4:1","5-0","Pretoria","19:10","13+"
"S12","NZL",NA,"Fri, 15 Apr 2005","8","Chiefs v Lions","45-14","6:2","5-0","Hamilton","19:35","13+"
"S12","SAF",NA,"Sat, 09 Apr 2005","7","Stormers v Reds","15-13","2:1","4-1","Cape Town","15:00","-12"
"S12","SAF",NA,"Sat, 09 Apr 2005","7","Bulls v Crusaders","35-20","4:1","5-0","Pretoria","17:00","13+"
"S12","NZL",NA,"Sat, 09 Apr 2005","7","Chiefs v Sharks","40-5","6:1","5-0","Hamilton","17:30","13+"
"S12","NZL",NA,"Sat, 09 Apr 2005","7","Blues v Lions","23-6","3:0","4-0","Albany","19:35","13+"
"S12","NZL",NA,"Fri, 08 Apr 2005","7","Highlanders v Brumbies","19-18","1:2","4-1","Dunedin","19:35","-12"
"S12","NZL",NA,"Sun, 10 Apr 2005","7","Hurricanes v Waratahs","26-24","3:4","4-2","Wellington","14:35","-12"
"S12","AUS",NA,"Sat, 02 Apr 2005","6","Waratahs v Crusaders","27-33","3:4","1-5","Sydney","19:40","-12"
"S12","NZL",NA,"Sat, 02 Apr 2005","6","Blues v Brumbies","17-0","2:0","4-0","Auckland","19:35","13+"
"S12","AUS",NA,"Fri, 01 Apr 2005","6","Reds v Highlanders","16-23","2:2","1-4","Brisbane","19:40","-12"
"S12","NZL",NA,"Fri, 01 Apr 2005","6","Hurricanes v Chiefs","28-16","3:1","4-0","Wellington","19:35","-12"
"S12","SAF",NA,"Sat, 26 Mar 2005","5","Sharks v Brumbies","36-24","5:3","5-0","Durban","17:00","-12"
"S12","AUS",NA,"Sat, 26 Mar 2005","5","Waratahs v Bulls","42-12","4:2","5-0","Sydney","19:40","13+"
"S12","SAF",NA,"Fri, 25 Mar 2005","5","Lions v Highlanders","12-16","0:1","1-4","Johannesburg","17:00","-12"
"S12","NZL",NA,"Fri, 25 Mar 2005","5","Hurricanes v Stormers","12-9","0:0","4-1","Palmerston North","19:35","-12"
"S12","SAF",NA,"Sat, 19 Mar 2005","4","Lions v Brumbies","29-34","2:4","1-5","Johannesburg","17:00","-12"
"S12","SAF",NA,"Sat, 19 Mar 2005","4","Sharks v Highlanders","7-43","1:6","0-5","Durban","19:10","13+"
"S12","AUS",NA,"Sat, 19 Mar 2005","4","Waratahs v Stormers","25-10","3:1","4-0","Sydney","19:40","13+"
"S12","NZL",NA,"Sat, 19 Mar 2005","4","Hurricanes v Bulls","12-21","2:2","0-4","Wellington","17:00","-12"
"S12","NZL",NA,"Sat, 19 Mar 2005","4","Blues v Crusaders","19-41","3:6","0-5","Auckland","19:35","13+"
"S12","NZL",NA,"Fri, 18 Mar 2005","4","Chiefs v Reds","6-20","0:2","0-4","Hamilton","19:35","13+"
"S12","SAF",NA,"Sat, 12 Mar 2005","3","Lions v Waratahs","19-40","2:5","0-5","Johannesburg","17:00","13+"
"S12","NZL",NA,"Sat, 12 Mar 2005","3","Crusaders v Reds","59-24","8:4","5-1","Nelson","14:35","13+"
"S12","NZL",NA,"Sat, 12 Mar 2005","3","Chiefs v Blues","18-9","2:0","4-0","Hamilton","19:35","-12"
"S12","SAF",NA,"Fri, 11 Mar 2005","3","Sharks v Hurricanes","23-29","2:2","1-4","Durban","19:10","-12"
"S12","AUS",NA,"Fri, 11 Mar 2005","3","Brumbies v Stormers","22-19","3:3","4-1","Canberra","19:40","-12"
"S12","NZL",NA,"Fri, 11 Mar 2005","3","Highlanders v Bulls","23-0","3:0","4-0","Dunedin","19:35","13+"
"S12","SAF",NA,"Sat, 05 Mar 2005","2","Lions v Hurricanes","32-45","4:5","1-5","Johannesburg","18:30","13+"
"S12","SAF",NA,"Sat, 05 Mar 2005","2","Sharks v Waratahs","13-36","1:4","0-5","Durban","18:30","13+"
"S12","NZL",NA,"Sat, 05 Mar 2005","2","Highlanders v Stormers","16-16","1:2","2-2","Invercargill","17:30","0"
"S12","NZL",NA,"Sat, 05 Mar 2005","2","Crusaders v Chiefs","50-18","7:2","5-0","Christchurch","19:35","13+"
"S12","AUS",NA,"Fri, 04 Mar 2005","2","Brumbies v Bulls","21-19","3:3","4-1","Canberra","19:40","-12"
"S12","NZL",NA,"Fri, 04 Mar 2005","2","Blues v Reds","18-15","2:2","4-1","Auckland","19:35","-12"
"S12","SAF",NA,"Sat, 26 Feb 2005","1","Lions v Bulls","23-17","2:2","4-1","Johannesburg","17:00","-12"
"S12","AUS",NA,"Sat, 26 Feb 2005","1","Reds v Hurricanes","10-24","2:2","0-4","Brisbane","20:10","13+"
"S12","AUS",NA,"Sat, 26 Feb 2005","1","Brumbies v Crusaders","32-21","4:3","5-0","Canberra","19:00","-12"
"S12","SAF",NA,"Fri, 25 Feb 2005","1","Stormers v Sharks","26-12","3:2","4-0","Cape Town","19:10","13+"
"S12","AUS",NA,"Fri, 25 Feb 2005","1","Waratahs v Chiefs","25-7","4:1","5-0","Sydney","19:40","13+"
"S12","NZL",NA,"Fri, 25 Feb 2005","1","Highlanders v Blues","14-30","1:3","0-4","Dunedin","19:35","13+"
"S14","NZL",NA,"Sat, 27 May 2006","Final","Crusaders v Hurricanes","19-12","1:0","4-1","Christchurch","19:35","-12"
"S14","NZL",NA,"Sat, 20 May 2006","Semi","Crusaders v Bulls","35-15","5:2","5-0","Christchurch","19:35","13+"
"S14","NZL",NA,"Fri, 19 May 2006","Semi","Hurricanes v Waratahs","16-14","1:1","4-1","Wellington","19:35","-12"
"S14","SAF",NA,"Sat, 13 May 2006","14","Cheetahs v Lions","28-23","2:2","4-1","Kimberley","15:00","-12"
"S14","SAF",NA,"Sat, 13 May 2006","14","Stormers v Bulls","10-43","1:6","0-5","Cape Town","17:00","13+"
"S14","AUS",NA,"Sat, 13 May 2006","14","Waratahs v Hurricanes","14-19","2:3","1-4","Sydney","19:40","-12"
"S14","NZL",NA,"Sat, 13 May 2006","14","Blues v Chiefs","9-30","0:3","0-4","Auckland","19:35","13+"
"S14","SAF",NA,"Fri, 12 May 2006","14","Sharks v Force","41-25","5:4","5-1","Durban","19:10","13+"
"S14","AUS",NA,"Fri, 12 May 2006","14","Reds v Highlanders","22-16","3:1","4-1","Townsville","19:40","-12"
"S14","NZL",NA,"Fri, 12 May 2006","14","Crusaders v Brumbies","33-3","3:0","4-0","Christchurch","19:35","13+"
